ID,EN Term,ZH Term,FR Term,Category,Subcategory,Domain,Definition,Notes,Example_EN,Example_ZH,Example_FR
ANA001,Abdomen,腹部,Abdomen,Anatomy,General,Digestive,"Body region between thorax and pelvis","胸与骨盆之间的区域","Palpate the abdomen gently.","轻柔触诊腹部。","Palper l'abdomen délicatement."
AIR002,Airway,气道,Voies aériennes,Basic,General,Respiratory,"Passage for air to lungs","保持通畅是急救第一步","Clear the airway first.","首先清理气道。","Dégagez les voies aériennes en premier."
PRO003,Auscultate,听诊,Auscultation,Procedure,Examination,Diagnostic,"Listening to body sounds","用听诊器检查","Auscultate lung sounds.","听诊呼吸音。","Auscultation des bruits pulmonaires."
DIS004,Anemia,贫血,Anémie,Disease,Hematology,Blood,"Low RBC count","血红蛋白降低","Iron deficiency causes anemia.","缺铁导致贫血。","La carence en fer provoque l'anémie."
BAC005,Bacteria,细菌,Bactérie,Pathogen,Microbiology,Infectious,"Microscopic organisms","抗生素靶向","Culture identifies bacteria.","培养鉴定细菌。","La culture identifie les bactéries."
BAN006,Bandage,绷带,Bandage,Instrument,Wound Care,Trauma,"Wound covering","用于压迫止血","Apply sterile bandage.","使用无菌绷带。","Appliquer un bandage stérile."
BOW007,Bowel,肠,Intestin,Anatomy,General,Digestive,"Digestive tract part","消化系统末端","Bowel sounds indicate motility.","肠鸣音反映蠕动。","Les bruits intestinaux indiquent la motilité."
CON008,Consciousness,意识,Conscience,Status,General,Neurological,"State of awareness","清醒/嗜睡/昏迷","Assess consciousness level.","评估意识水平。","Évaluer le niveau de conscience."
MED009,Contraindication,禁忌症,Contre-indication,Medication,Safety,Pharmacology,"Reason to avoid treatment","禁止使用的情况","Pregnancy is a contraindication.","妊娠是禁忌症。","La grossesse est une contre-indication."
COU010,Cough,咳嗽,Toux,Symptom,General,Respiratory,"Expulsive reflex","呼吸道防御反射","Dry cough vs productive cough.","干咳 vs 咳痰。","Toux sèche vs toux productive."
DEH011,Dehydration,脱水,Déshydratation,Condition,General,Metabolic,"Fluid deficiency","体液不足","Severe dehydration needs IV fluids.","严重脱水需静脉补液。","La déshydratation sévère nécessite des perfusions."
DIA012,Dialysis,透析,Dialyse,Treatment,Nephrology,Renal,"Blood filtration","肾功能替代治疗","Hemodialysis 3 times weekly.","每周3次血液透析。","Hémodialyse 3 fois par semaine."
DIZ013,Dizziness,头晕,Vertige,Symptom,General,Neurological,"Balance disorder","空间定向障碍","Dizziness when standing up.","站立时头晕。","Vertige en se levant."
EDI014,Edema,水肿,Œdème,Symptom,General,General,"Tissue swelling","组织液积聚","Pitting edema in legs.","下肢凹陷性水肿。","Œdème prenant le godet aux membres inférieurs."
EXA015,Examination,检查,Examen,Procedure,General,Diagnostic,"Physical assessment","体格检查","Complete physical examination.","完成体格检查。","Examen physique complet."
CT_016,CT scan,CT扫描,Scanner,Diagnostic,Imaging,Radiology,"Cross-sectional imaging","计算机断层成像","Head CT rules out bleeding.","头颅CT排除出血。","Le scanner cérébral élimine l'hémorragie."
FAT017,Fatigue,疲劳,Fatigue,Symptom,General,General,"Physical tiredness","主观疲倦感","Chronic fatigue needs evaluation.","慢性疲劳需评估。","La fatigue chronique nécessite une évaluation."
FEV018,Fever,发热,Fièvre,Symptom,General,Infectious,"Elevated temperature","体温>37.5℃","Manage fever with antipyretics.","用退热药处理发热。","Gérer la fièvre avec des antipyrétiques."
FRA019,Fracture,骨折,Fracture,Disease,Orthopedics,Musculoskeletal,"Broken bone","完全/不完全骨折","Closed fracture needs casting.","闭合骨折需打石膏。","Fracture fermée nécessite un plâtre."
GAS020,Gastritis,胃炎,Gastrite,Disease,Gastroenterology,Digestive,"Stomach inflammation","胃黏膜炎症","Avoid NSAIDs with gastritis.","胃炎避免用NSAIDs。","Éviter les AINS avec gastrite."
GAU021,Gauze,纱布,Gaze,Instrument,Wound Care,Trauma,"Dressing material","消毒纱布用于覆盖伤口","Use sterile gauze.","使用消毒纱布。","Utiliser de la gaze stérile."
GAI022,Gait,步态,Démarche,Assessment,General,Neurological,"Walking pattern","行走方式观察","Observe the patient's gait.","观察患者步态。","Observer la démarche du patient."
HEM023,Hemoglobin,血红蛋白,Hémoglobine,Lab Test,Hematology,Blood,"Oxygen carrier","携氧蛋白","Low hemoglobin indicates anemia.","血红蛋白低提示贫血。","Un faible taux d'hémoglobine indique une anémie."
HEM024,Hemorrhage,出血,Hémorragie,Emergency,Trauma,Hematology,"Excessive bleeding","内出血/外出血","Control hemorrhage immediately.","立即控制出血。","Contrôler l'hémorragie immédiatement."
HYD025,Hydration,水合状态,Hydratation,Status,General,Metabolic,"Fluid balance","体液平衡","Check skin turgor for hydration.","检查皮肤弹性评估水合。","Vérifier la turgescence cutanée pour l'hydratation."
IMM026,Immunization,免疫接种,Immunisation,Treatment,Preventive,Infectious,"Disease prevention","疫苗预防","Childhood immunization schedule.","儿童免疫接种计划。","Calendrier de vaccination des enfants."
IVL027,IV line,静脉通路,Voie intraveineuse,Treatment,General,Medication,"Intravenous access","建立给药通道","Insert an IV line.","建立静脉通路。","Mettre en place une voie intraveineuse."
ITC028,Itching,瘙痒,Démangeaison,Symptom,General,Dermatology,"Skin irritation","皮肤刺激感","Itching with rash needs cream.","皮疹伴瘙痒需药膏。","Démangeaisons avec éruption nécessitent une crème."
JAU029,Jaundice,黄疸,Jaunisse,Symptom,General,Hepatology,"Yellow discoloration","胆红素升高表现","Newborn jaundice is common.","新生儿黄疸常见。","La jaunisse du nouveau-né est fréquente."
ECG030,ECG,心电图,ECG,Diagnostic,Cardiology,Cardiovascular,"Heart electrical recording","心脏电活动记录","Perform a 12-lead ECG.","做12导联心电图。","Réaliser un ECG 12 dérivations."
ID,EN Term,ZH Term,FR Term,Category,Subcategory,Domain,Definition,Notes,Example_EN,Example_ZH,Example_FR
FRA031,Fracture,骨折,Fracture,Disease,Orthopedics,Musculoskeletal,"Structural break in bone continuity","完全/不完全骨折","Closed fracture needs casting.","闭合骨折需打石膏。","Fracture fermée nécessite un plâtre."
GAS032,Gastritis,胃炎,Gastrite,Disease,Gastroenterology,Digestive,"Inflammation of stomach lining","胃黏膜炎症","Avoid NSAIDs with gastritis.","胃炎避免用NSAIDs。","Éviter les AINS avec gastrite."
GAU033,Gauze,纱布,Gaze,Instrument,Wound Care,Trauma,"Thin translucent fabric for dressing","消毒纱布用于覆盖伤口","Use sterile gauze.","使用无菌绷带。","Utiliser de la gaze stérile."
GAI034,Gait,步态,Démarche,Assessment,General,Neurological,"Manner of walking","行走方式观察","Observe the patient's gait.","观察患者步态。","Observer la démarche du patient."
HEM035,Hemoglobin,血红蛋白,Hémoglobine,Lab Test,Hematology,Blood,"Oxygen-carrying protein in RBCs","携氧蛋白","Low hemoglobin indicates anemia.","血红蛋白低提示贫血。","Un faible taux d'hémoglobine indique une anémie."
HEM036,Hemorrhage,出血,Hémorragie,Emergency,Trauma,Hematology,"Excessive bleeding","内出血/外出血","Control hemorrhage immediately.","立即控制出血。","Contrôler l'hémorragie immédiatement."
HYD037,Hydration,水合状态,Hydratation,Status,General,Metabolic,"Body water balance","体液平衡","Check skin turgor for hydration.","检查皮肤弹性评估水合。","Vérifier la turgescence cutanée pour l'hydratation."
IMM038,Immunization,免疫接种,Immunisation,Treatment,Preventive,Infectious,"Process of making immune to infection","疫苗预防","Childhood immunization schedule.","儿童免疫接种计划。","Calendrier de vaccination des enfants."
IVL039,IV line,静脉通路,Voie intraveineuse,Treatment,General,Medication,"Route for intravenous therapy","建立给药通道","Insert an IV line.","建立静脉通路。","Mettre en place une voie intraveineuse."
ITC040,Itching,瘙痒,Démangeaison,Symptom,General,Dermatology,"Skin irritation causing scratching","皮肤刺激感","Itching with rash needs cream.","皮疹伴瘙痒需药膏。","Démangeaisons avec éruption nécessitent une crème."
JAU041,Jaundice,黄疸,Jaunisse,Symptom,General,Hepatology,"Yellowish pigmentation of tissues","胆红素升高表现","Newborn jaundice is common.","新生儿黄疸常见。","La jaunisse du nouveau-né est fréquente."
JOI042,Joint,关节,Articulation,Anatomy,General,Musculoskeletal,"Connection between bones","骨连接部位","Joint swelling suggests arthritis.","关节肿胀提示关节炎。","Un gonflement articulaire suggère de l'arthrite."
KET043,Ketones,酮体,Corps cétoniques,Lab Test,Metabolic,Endocrine,"Acidic byproducts of fat metabolism","糖尿病酮症","Urine ketones in DKA.","糖尿病酮症酸中毒时尿酮阳性。","Corps cétoniques urinaires dans l'ACD."
KID044,Kidney,肾脏,Rein,Anatomy,Urology,Renal,"Organ for filtering blood","泌尿系统器官","The kidney filters blood.","肾脏过滤血液。","Le rein filtre le sang."
LAC045,Laceration,撕裂伤,Lacération,Injury,Trauma,Trauma,"Irregular wound","不规则伤口","Suture the laceration.","缝合撕裂伤。","Suturer la lacération."
LYM046,Lymph node,淋巴结,Ganglion lymphatique,Anatomy,Immunology,Immunology,"Small immune system organ","免疫器官","Palpable lymph nodes may indicate infection.","可触及淋巴结可能提示感染。","Les ganglions palpables peuvent indiquer une infection."
LYM047,Lymph,淋巴,Lymphe,Physiology,General,Immunology,"Clear fluid in lymphatic system","免疫系统液体","Lymph nodes filter lymph.","淋巴结过滤淋巴液。","Les ganglions filtrent la lymphe."
MAL048,Malignant,恶性,Malin,Disease,Oncology,Oncology,"Cancerous growth","癌性肿瘤","Malignant tumor requires biopsy.","恶性肿瘤需活检。","Tumeur maligne nécessite une biopsie."
MAL049,Malaise,不适,Malaise,Symptom,General,General,"General feeling of discomfort","整体不适感","Fever with malaise suggests infection.","发热伴不适提示感染。","Fièvre avec malaise suggère une infection."
MRI050,MRI,磁共振成像,IRM,Diagnostic,Imaging,Radiology,"Magnetic resonance imaging","无辐射成像","MRI shows soft tissue details.","MRI显示软组织细节。","L'IRM montre les détails des tissus mous."
NAU051,Nausea,恶心,Nausée,Symptom,General,Digestive,"Urge to vomit","常见副作用","Chemotherapy causes nausea.","化疗导致恶心。","La chimiothérapie provoque des nausées."
NEB052,Nebulizer,雾化器,Nébuliseur,Instrument,Respiratory,Respiratory,"Device for inhaled medication","吸入治疗","Use nebulizer for asthma.","哮喘使用雾化器。","Utiliser un nébuliseur pour l'asthme."
NUM053,Numbness,麻木,Engourdissement,Symptom,General,Neurological,"Loss of sensation","感觉减退","Numbness in fingers needs evaluation.","手指麻木需评估。","Un engourdissement des doigts nécessite une évaluation."
NUT054,Nutrition,营养,Nutrition,Status,General,Metabolic,"Process of nourishing the body","营养状态","Assess nutritional status.","评估营养状态。","Évaluer l'état nutritionnel."
OXY055,Oxygen,氧气,Oxygène,Treatment,Respiratory,Respiratory,"Gas essential for life","生命支持气体","Administer oxygen via mask.","通过面罩给氧。","Administrer de l'oxygène par masque."
OBS056,Obesity,肥胖,Obésité,Condition,Metabolic,Endocrine,"Excessive body fat (BMI≥30)","BMI≥30","Obesity increases diabetes risk.","肥胖增加糖尿病风险。","L'obésité augmente le risque de diabète."
PNE057,Pneumonia,肺炎,Pneumonie,Disease,Respiratory,Respiratory,"Lung infection","肺部感染","Chest X-ray confirms pneumonia.","胸片确诊肺炎。","La radiographie pulmonaire confirme la pneumonie."
PUL058,Pulse,脉搏,Pouls,Vital Sign,General,Cardiovascular,"Arterial rhythm","60-100次/分钟正常","Check radial pulse.","检查桡动脉脉搏。","Vérifier le pouls radial."
QUA059,Quarantine,隔离,Quarantaine,Public Health,Infection,Infectious,"Isolation to prevent spread","传染病控制","COVID patients need quarantine.","新冠患者需要隔离。","Les patients COVID ont besoin de quarantaine."
QUI060,Quinine,奎宁,Quinine,Medication,Infectious,Pharmacology,"Antimalarial drug","抗疟疾药","Quinine treats malaria.","奎宁治疗疟疾。","La quinine traite le paludisme."
ID,EN Term,ZH Term,FR Term,Category,Subcategory,Domain,Definition,Notes,Example_EN,Example_ZH,Example_FR
KET061,Ketones,酮体,Corps cétoniques,Lab Test,Metabolic,Endocrine,"Acidic byproducts of fat metabolism","糖尿病酮症","Urine ketones in DKA.","糖尿病酮症酸中毒时尿酮阳性。","Corps cétoniques urinaires dans l'ACD."
KID062,Kidney,肾脏,Rein,Anatomy,Urology,Renal,"Organ for filtering blood","泌尿系统器官","The kidney filters blood.","肾脏过滤血液。","Le rein filtre le sang."
LAC063,Laceration,撕裂伤,Lacération,Injury,Trauma,Trauma,"Irregular wound","不规则伤口","Suture the laceration.","缝合撕裂伤。","Suturer la lacération."
LYM064,Lymph node,淋巴结,Ganglion lymphatique,Anatomy,Immunology,Immunology,"Small immune system organ","免疫器官","Palpable lymph nodes may indicate infection.","可触及淋巴结可能提示感染。","Les ganglions palpables peuvent indiquer une infection."
LYM065,Lymph,淋巴,Lymphe,Physiology,General,Immunology,"Clear fluid in lymphatic system","免疫系统液体","Lymph nodes filter lymph.","淋巴结过滤淋巴液。","Les ganglions filtrent la lymphe."
MAL066,Malignant,恶性,Malin,Disease,Oncology,Oncology,"Cancerous growth","癌性肿瘤","Malignant tumor requires biopsy.","恶性肿瘤需活检。","Tumeur maligne nécessite une biopsie."
MAL067,Malaise,不适,Malaise,Symptom,General,General,"General feeling of discomfort","整体不适感","Fever with malaise suggests infection.","发热伴不适提示感染。","Fièvre avec malaise suggère une infection."
MRI068,MRI,磁共振成像,IRM,Diagnostic,Imaging,Radiology,"Magnetic resonance imaging","无辐射成像","MRI shows soft tissue details.","MRI显示软组织细节。","L'IRM montre les détails des tissus mous."
NAU069,Nausea,恶心,Nausée,Symptom,General,Digestive,"Urge to vomit","常见副作用","Chemotherapy causes nausea.","化疗导致恶心。","La chimiothérapie provoque des nausées."
NEB070,Nebulizer,雾化器,Nébuliseur,Instrument,Respiratory,Respiratory,"Device for inhaled medication","吸入治疗","Use nebulizer for asthma.","哮喘使用雾化器。","Utiliser un nébuliseur pour l'asthme."
NUM071,Numbness,麻木,Engourdissement,Symptom,General,Neurological,"Loss of sensation","感觉减退","Numbness in fingers needs evaluation.","手指麻木需评估。","Un engourdissement des doigts nécessite une évaluation."
NUT072,Nutrition,营养,Nutrition,Status,General,Metabolic,"Process of nourishing the body","营养状态","Assess nutritional status.","评估营养状态。","Évaluer l'état nutritionnel."
OXY073,Oxygen,氧气,Oxygène,Treatment,Respiratory,Respiratory,"Gas essential for life","生命支持气体","Administer oxygen via mask.","通过面罩给氧。","Administrer de l'oxygène par masque."
OBS074,Obesity,肥胖,Obésité,Condition,Metabolic,Endocrine,"Excessive body fat (BMI≥30)","BMI≥30","Obesity increases diabetes risk.","肥胖增加糖尿病风险。","L'obésité augmente le risque de diabète."
PNE075,Pneumonia,肺炎,Pneumonie,Disease,Respiratory,Respiratory,"Lung infection","肺部感染","Chest X-ray confirms pneumonia.","胸片确诊肺炎。","La radiographie pulmonaire confirme la pneumonie."
PUL076,Pulse,脉搏,Pouls,Vital Sign,General,Cardiovascular,"Arterial rhythm","60-100次/分钟正常","Check radial pulse.","检查桡动脉脉搏。","Vérifier le pouls radial."
QUA077,Quarantine,隔离,Quarantaine,Public Health,Infection,Infectious,"Isolation to prevent spread","传染病控制","COVID patients need quarantine.","新冠患者需要隔离。","Les patients COVID ont besoin de quarantaine."
QUI078,Quinine,奎宁,Quinine,Medication,Infectious,Pharmacology,"Antimalarial drug","抗疟疾药","Quinine treats malaria.","奎宁治疗疟疾。","La quinine traite le paludisme."
RAS079,Rash,皮疹,Éruption,Symptom,Dermatology,Dermatology,"Skin abnormality","皮肤异常表现","Assess rash distribution.","评估皮疹分布。","Évaluer la distribution de l'éruption."
RES080,Respiration,呼吸,Respiration,Physiology,General,Respiratory,"Breathing process","气体交换过程","Count respiration rate.","计数呼吸频率。","Compter la fréquence respiratoire."
RHE081,Rheumatism,风湿病,Rhumatisme,Disease,Rheumatology,Musculoskeletal,"Connective tissue disorder","关节/结缔组织病","Rheumatism causes joint pain.","风湿病导致关节疼痛。","Le rhumatisme provoque des douleurs articulaires."
SEP082,Sepsis,脓毒症,Septicémie,Emergency,Infection,Infectious,"Systemic inflammatory response","全身炎症反应","Sepsis requires antibiotics.","脓毒症需抗生素。","La septicémie nécessite des antibiotiques."
SKI083,Skin,皮肤,Peau,Anatomy,General,Dermatology,"Body's outer covering","最大的人体器官","Check skin for rashes.","检查皮肤有无皮疹。","Vérifier la peau pour des éruptions."
SPU084,Sputum,痰,Expectoration,Vital Sign,Respiratory,Respiratory,"Mucus from lungs","颜色/粘度","Purulent sputum in infection.","感染时脓性痰。","Expectorations purulentes dans l'infection."
SUT085,Suture,缝合,Suture,Procedure,Surgery,Surgery,"Wound closure method","伤口闭合方法","Remove sutures after 7 days.","7天后拆线。","Retirer les sutures après 7 jours."
TEM086,Temperature,体温,Température,Vital Sign,General,General,"Body heat measurement","核心体温","Oral temperature is accurate.","口腔测温准确。","La température orale est précise."
TEN087,Tendon,肌腱,Tendon,Anatomy,Orthopedics,Musculoskeletal,"Connects muscle to bone","连接肌肉与骨骼","Achilles tendon is vulnerable.","跟腱容易受伤。","Le tendon d'Achille est vulnérable."
TUB088,Tuberculosis,结核,Tuberculose,Disease,Infectious,Infectious,"Mycobacterial infection","分枝杆菌感染","TB needs long-term treatment.","结核需长期治疗。","La tuberculose nécessite un traitement à long terme."
ULC089,Ulcer,溃疡,Ulcère,Disease,Gastroenterology,Digestive,"Mucosal erosion","黏膜破损","Peptic ulcer needs endoscopy.","消化性溃疡需胃镜。","Ulcère gastro-duodénal nécessite une endoscopie."
